"","index","content","date","polarity"
"703","703","Cumhurbaşkanı Başdanışmanı Şener:: Cumhurbaşkanı Başdanışmanı Şener:""(Başkanlık sistemi) Hizmette hız ortaya ç... https://t.co/9NQfhrZHjm","2016-04-22 17:30:54+00:00","Neutral"
"704","704","Cumhurbaşkanı Başdanışmanı Şener:: Cumhurbaşkanı Başdanışmanı Şener:""(Başkanlık sistemi) Hizmette hız ortaya ç... https://t.co/6mfG32nFVk","2016-04-22 17:30:51+00:00","Neutral"
"705","705","Cumhurbaşkanı Başdanışmanı Şener:: Cumhurbaşkanı Başdanışmanı Şener:""(Başkanlık sistemi) Hizmette hız ortaya ç... https://t.co/7dqPTM8zof","2016-04-22 17:30:49+00:00","Neutral"
"706","706","Banu Avar'la Dünya Düzeni - Küresel Başkanlık Sistemi https://t.co/o6c6EQaQGQ İZLEYİN................","2016-04-22 17:15:22+00:00","Neutral"
"707","707","En Önemli Unsurlardan Biri Başkanlık Sistemi https://t.co/Vs2lagB4C3","2016-04-22 17:13:07+00:00","Positive"
"708","708","Laik kesim için cuma akşamı demek,bomonti, efes malt bilimum arpa suları demektir.En iyisi başkanlık sistemi ayrıca imam hatipler kapatılsın","2016-04-22 17:06:09+00:00","Positive"
"709","709","İl Gençlik Kollarımızın düzenlediği Enes Bayraklı'nın konuşmacı olarak katıldığı Başkanlık Sistemi konferansındayız. https://t.co/czuntVljim","2016-04-22 16:50:44+00:00","Neutral"
"710","710","#sondakika Bakan Kılıç: Başkanlık Sistemi Türkiye'nin Önünü Açacak https://t.co/xPD3AWMXqh","2016-04-22 16:46:42+00:00","Neutral"
"711","711","Anadolu Fikir Platformun da buhafta konumuz Yeni Anayasa ve Başkanlık sistemi.Konuğumuz Avukat Hüseyin Rahmi AKYÜZ.","2016-04-22 16:17:30+00:00","Neutral"
"712","712","Tarsus Yurt Müdürlüğümüzde  Farkindalik Fonferansinda Yeni Anayasa ve Baskanlik Sistemi konuşuldu. https://t.co/Lmw0OloYSh","2016-04-22 16:17:07+00:00","Neutral"
"713","713","Sakarya’da Başkanlık Sistemi Konferansını Protesto Etmek İsteyen 4 Öğrenci Gözaltına Alındı https://t.co/FOdeE0FPir","2016-04-22 16:09:10+00:00","Neutral"
"714","714","""Yeni Anayasa ve Başkanlık Sistemi"" adlı konferansı bilgi deryası Sn. @BurhanKuzu hocamızdan dinledik. https://t.co/kDbThEcGDg","2016-04-22 15:59:22+00:00","Neutral"
"715","715","Burhan kuzu'nun sunduğu Yeni Anayasa ve Başkanlık sistemi konulu konferansa katıldık https://t.co/9EfRTg74FO","2016-04-22 15:53:49+00:00","Neutral"
"716","716","Bakan Kılıç: Başkanlık sistemi Türkiye’nin önünü açacak https://t.co/jygz5eEmOd https://t.co/jdL0Y47a5q","2016-04-22 15:46:20+00:00","Positive"
"717","717","Bakan Kılıç: Başkanlık sistemi Türkiye''nin önünü açacak  https://t.co/mnOWQA2ew6 https://t.co/oVxX6IAQg5","2016-04-22 15:42:38+00:00","Positive"
"718","718","@yirmidorttv Seçilmiş Cumhurbaşkanı ve seçilmiş bir Başbakan olan sistem fiiliyatta yarı-başkanlık sistemi var.","2016-04-22 15:23:29+00:00","Neutral"
"719","719","Prof. Dr. Hasbi Soylu'nun verdiği 'Siyasi Coğrafya açısından Başkanlık Sistemi ve Türkiye' konulu konferansı yaklaşık 40 kişi izledi","2016-04-22 15:21:06+00:00","Neutral"
"720","720","@limorata ya onun lakabi mega star. Kraliyet namina bir şey kalmadi. Başkanlik sistemi gelecek :(","2016-04-22 15:06:05+00:00","Neutral"
"721","721","SAÜ'de “Yeni Anayasa ve Başkanlık Sistemi"" konferansını protesto etmek isteyen 4 öğrenci gözaltına alındı https://t.co/NAAeTP9EXa","2016-04-22 14:15:22+00:00","Neutral"
"722","722","#ÇokİçtenDiyorum Yeni Anayasa ve Başkanlık sistemi istiyorum. https://t.co/dkGqCgV1X1","2016-04-22 14:14:41+00:00","Positive"
"723","723","@ihsansenerordu anlatımıyla Türkiye'de Yeni Sistem Arayışı: Neden Başkanlık Sistemi? konferansındaydık.
@vahitatalan https://t.co/XAxNLDWdcL","2016-04-22 14:05:25+00:00","Neutral"
"724","724","Yarın 16:00 SKSM'de İstanbul Mvkilimiz @MetinKulunk34 katılımıyla Yeni Anayasa Başkanlık Sistemi hk bilgilendiriyor https://t.co/NsqPhTs50M","2016-04-22 13:11:16+00:00","Neutral"
"725","725","Sakarya Üniversitesi'nde Sn Burhan Kuzu'nun konuşmacı olarak katıldığı'Başkanlık sistemi ve yeni anayasa' konferansı https://t.co/3Tvh7NCkKK","2016-04-22 13:10:29+00:00","Neutral"
"726","726","#Türkiye #haber Başkanlık Sistemi Kalkınmayı Ateşleyecek https://t.co/QEj4YDI1TL","2016-04-22 12:55:51+00:00","Positive"
"727","727","""Krallar saltanat sürer, hükümet sürmez. Başkanlar ise hükümet sürer, saltanat sürmez."" Başkanlık sistemi gerçeği budur.","2016-04-22 12:52:18+00:00","Positive"
"728","728","Adana BTÜ' de Cumhurbaşkanlığı başdanışmanı sn. @ihsansenerordu 'nun Başkanlık sistemi konulu konferansındayız. https://t.co/Y8z9S9Lq3p","2016-04-22 12:44:41+00:00","Neutral"
"729","729","Davanın savcısıyım demedim,yancısıyım dedim...Ne savcısıyım dedim ne yancısıyım...Bu arada Türk tipi bir Başkanlık Sistemi... :D","2016-04-22 12:35:21+00:00","Positive"
"730","730","#BenceAdamOlmak ""Yeni Anayasa ve Başkanlık Sistemi konuşmaktır"".
""Hayırlı Cumalar"" https://t.co/gGgg3XTOlQ","2016-04-22 12:13:36+00:00","Positive"
"731","731","Cumhurbaşkanlığı Başdanışmanı Sayın İhsan Şener in başkanlık sistemi hakkındaki konferansı @ihsansenerordu https://t.co/LlkljppveA","2016-04-22 12:05:54+00:00","Neutral"
"732","732","Cumhurbaşkanlığı Başdanışmanı @ihsansenerordu #AdanaBilimveTeknolojiÜniversitesi 'nde #Neden #Başkanlık #Sistemi? https://t.co/DZiqmuABol","2016-04-22 12:01:32+00:00","Neutral"
"733","733","Yeni Anayasa ve Başkanlık Sistemi konulu Prof. Dr. @BurhanKuzu hocamızın seminerindeyiz. https://t.co/ztUOMtis3P","2016-04-22 11:54:24+00:00","Neutral"
"734","734","""Yeni Anayasa ve Başkanlık Sistemi Tartışmaları"" @RT_Erdogan @hasandogan @Ahmet_Davutoglu @Akparti https://t.co/InqchE2ik4","2016-04-22 11:52:53+00:00","Neutral"
"735","735","Cumhurbaşkanlığı Başdanışmanı İhsan Şener hocamızı, başkanlık sistemi ile ilgili dinliyoruz. #tcbestepe #akp https://t.co/V4GxoSb6Vj","2016-04-22 11:42:51+00:00","Neutral"
"736","736","Talat'an Türkeş'e Başkanlık Sistemi iması:""Sapkayı yere koyup sistemi ele almamız gerek"" via @kibris_postasi https://t.co/QT4Ah0SMCv","2016-04-22 11:21:41+00:00","Neutral"
"737","737","AB vize muafiyetini sulandırırsa sivil anayasa &amp; başkanlık sistemi yanına birde AB referandumu eklersiniz aradan çıkar !","2016-04-22 10:46:39+00:00","Neutral"
"738","738","@fbcmlbl @Sydney1907 @davsan1907 @lvnbrnc yerim demokrasisini kizlara acilen baskanlik sistemi","2016-04-22 10:24:40+00:00","Neutral"
"739","739","Vekil Külünk, Başkanlık Sistemi ile Anayasa turunu Artvin’de sürdürdü https://t.co/PEDE7JTLeZ","2016-04-22 10:13:33+00:00","Neutral"
"740","740","Yeni Anayasa tartışmalarını Başkanlık Sistemi tartışmalarının önüne ""geçirmemek"" lazım. Buna dikkat etmek de fayda var.","2016-04-22 09:48:19+00:00","Positive"
"741","741","#diploma sahteymiş de,pek yakında ""başkanlık sistemi için üniversite zorunluluğu yoktur"" denilecek,atı alan Üsküdar'ı geçecek.
Demedi deme!","2016-04-22 09:43:44+00:00","Negative"
"742","742","Türkiye dünyanın jeopolitik merkezindedir.Irk devleti olmamalı.Sosyolojik yapısına  uygun içinde başkanlık sistemi olan yeni anayasa yapmalı","2016-04-22 08:22:35+00:00","Positive"
"743","743","""Başkanlık Sistemi ve Türkiye'nin Anayasa Mutabakatı""; https://t.co/TBxt2YTCj6 @TAM_Olsun","2016-04-22 08:22:25+00:00","Neutral"
"744","744","""Yeni Anayasa ve Başkanlık Sistemi"" konferansı https://t.co/YPwpVFCDnW","2016-04-22 08:18:30+00:00","Neutral"
"745","745","Daha başkanlık sistemi gelmeden bu kadar aleni biçimde hukuksuzluk ve zulüm yapılıyorsa, başkanlıktan sonra yargısız infazlar gırla gider.","2016-04-22 08:11:58+00:00","Negative"
"746","746","Hatta başkanlık sistemi temelinde demliyorum anayasayı, için istikrar gelsin ^ ^","2016-04-22 08:09:07+00:00","Positive"
"747","747","Bir tutam da başkanlık sistemi attım içine ?","2016-04-22 08:07:59+00:00","Neutral"
"748","748","Başkanlık sistemi..sadece başkanlar oturabilir. https://t.co/0TRJa2AHAX","2016-04-22 08:02:07+00:00","Neutral"
"749","749","2023 ve Başkanlık Sistemi https://t.co/nbVr5PYfyM @YouTube aracılığıyla","2016-04-22 07:50:38+00:00","Neutral"
"750","750","'Yeni Anayasa ve Başkanlık Sistemi' adlı programımızdan hatıralar.Bizi kırmayan konuşmacılara teşekkürü borç biliriz https://t.co/b15bIOk44N","2016-04-22 07:42:50+00:00","Neutral"
"751","751","#kelkit Gümüşhane’de “yeni anayasa ve başkanlık sistemi” konferansı https://t.co/2jCSavcBDE #gümüşhane","2016-04-22 07:40:04+00:00","Neutral"
"752","752","Banu Avar  İTHAL  Başkanlık Sistemi Tayyip Erdoğan -SADECE İZLEYİN- DÜŞÜNMEK SİZE KALMIŞ...https://t.co/sdvXWA5SJ5 @YouTube aracılığıyla","2016-04-22 07:28:33+00:00","Neutral"
"753","753","@byz19_05 Reis sağ olsun  o her işin üstesinden gelir...inşallah başkanlık sistemi gelir de başkan olur 😊😊","2016-04-22 07:19:45+00:00","Positive"
"754","754","“Yeni Anayasa ve Başkanlık Sistemi” konferansı
https://t.co/mMmjg8QusO  @Ghanevalilik  @yucelyavuz66 https://t.co/SMmUPMekMc","2016-04-22 07:01:35+00:00","Neutral"
"755","755","Yeni Anayasa ve Başkanlık Sistemi
Bugün Saat 14'te
SAÜ Kültür ve Kongre Merkezi Salon 1'de https://t.co/kWX5x6MIGr","2016-04-22 06:59:12+00:00","Neutral"
"756","756","""Yeni Anayasa ve Başkanlık Sistemi"" konferansı https://t.co/HtqRfdhqpx","2016-04-22 06:17:10+00:00","Neutral"
"757","757","@erenerdemnet Hendekci,Takiyyeci, İngilterör uşağı,Abdestli Komunistliği ve CHDPKK-F Terörist başkanlık sistemi mi? https://t.co/sl9BbtvSkh","2016-04-22 05:32:34+00:00","Negative"
"758","758","@KucukkayaIsmail Başkanlık sistemi gelse artık hiç kimse kandıramaz 😄 herhalde #sahipçıkıyoruz bu fikre diyemiyorum !","2016-04-22 04:53:40+00:00","Negative"
"759","759","Prof. Dr. Burhan Kuzu'nun ile Yeni Anayasa ve Başkanlık Sistemi Konferansı Saat:14.00 Saü Kongre Merkezi Salon 1'de. https://t.co/YopT2BSfCl","2016-04-21 22:26:42+00:00","Neutral"
"760","760","Karşılaştığımız faciaların temelinde başkanlık sistemi, yeni anayasa, dokunulmazlıklar değil, yanlışlarla dolu Milli Eğitim Sistemi vardır.","2016-04-21 22:22:09+00:00","Neutral"
"761","761","@yzar_yzar  komiksin cahil olduğun belli başkanlık sisteminin ne olduğunu biliyor musun türkiye bölünecek eyalet sistemi olacak","2016-04-21 22:16:11+00:00","Negative"
"762","762","Ali Ağaoğlu Ortanca hanımı da alıp ülkeyi terkediyomuş. Giderayak da ülkenin kurtuluşu Başkanlık sistemi demiş. La bi s…. Git..","2016-04-21 21:51:00+00:00","Negative"
"763","763","Ne demokrasi ne başkanlık sistemi, istediğimiz sadece İslam'ın halifesi... #HizbutTahrir","2016-04-21 21:15:12+00:00","Neutral"
"764","764","23 Nisan'da 1 günlüğüne BB olan küçük kızdan Erdoğan'a Başkanlık sistemi şoku. https://t.co/RsMQwUpCfA","2016-04-21 21:13:59+00:00","Neutral"
"765","765","Rizeli bilimadamlarının ; başkanlık sistemi olan ülkelerde kadınların adetleri 3günde bitiyor açıklaması evlierkeklerde sevinçle karşılandı","2016-04-21 20:14:51+00:00","Neutral"
"766","766","Başkanlık sistemi olsun ve ülkenin başkanı olmak için üniversite diploması almamış olmak şart olsunn !!!","2016-04-21 20:12:50+00:00","Neutral"
"767","767","@Ahmet_Davutoglu @RT_Erdogan Milli liderler Milli projeler Milli Yeni Türkiye,Milli Anayasa,Milli Başkanlık sistemi https://t.co/9qxucweOtN","2016-04-21 20:00:01+00:00","Positive"
"768","768","3)Türkiye, siyasette tıkanmadan,ekonomide duraklamadan yoluna Yeni  Anayasası ve Başkanlık sistemi ile hızla devam etmeli.2023'e az kaldı...","2016-04-21 19:51:45+00:00","Positive"
"769","769","Siirt'te Başkanlık sistemi için destek istedi
Başkanlık sistemi bu ülkenin mukadderatıdır
@EgemenBagis @RT_Erdogan https://t.co/NFlgwGCmmQ","2016-04-21 19:47:54+00:00","Neutral"
"770","770","Yeni Anayasa ve Başkanlık Sistemi"" Konferansı https://t.co/EyXVOPz411 https://t.co/aEGZgaGXP4","2016-04-21 19:42:14+00:00","Neutral"
"771","771","""Karşılaştığımız faciaların temelinde başkanlık sistemi, yeni anayasa, dokunulmazlıklar değil, yanlışlarla dolu... https://t.co/DNQGhVYMck","2016-04-21 19:39:30+00:00","Neutral"
"772","772","Prof.Dr. Burhan Kuzu ile Yeni Anayasa ve Başkanlık Sistemi.

https://t.co/dUY0MBMbvh","2016-04-21 19:11:51+00:00","Neutral"
"773","773","@sb_dag mahmut uslu demedi mi burada başkanlık sistemi var diye?","2016-04-21 19:09:20+00:00","Neutral"
"774","774","Yeni Anayasa ve Başkanlık Sistemi 

22 Nisan 2016
Saat: 14.00
Sakarya Üniversitesi Kongre Merkezi
@Uniak_Sakarya https://t.co/xk4IvjRgbk","2016-04-21 19:06:27+00:00","Neutral"
"775","775","hocam son berat ne film adı gibi olmuş.
başkanlık sistemi gibi bişi mi?  https://t.co/LCCywEA92p","2016-04-21 19:05:55+00:00","Neutral"
"776","776","“Yeni Anayasa ve Başkanlık Sistemi”
https://t.co/Kka614BfL5 https://t.co/9mHpGBNvmh","2016-04-21 19:03:27+00:00","Neutral"
"777","777","Çiçek'ten Başkanlık Sistemi itirazı https://t.co/sfSVUYWt0V","2016-04-21 18:48:59+00:00","Negative"
"778","778","Buda başkanlık sistemi kavgasız olsun için bir taktikdir barış süreci falan başlamaz  https://t.co/HBVilrkAVH","2016-04-21 18:23:47+00:00","Neutral"
"779","779","Gümüşhane’de “Yeni Anayasa Ve Başkanlık Sistemi” Konferansı: Gümüşhane’de “Yeni Anayasa Ve Başkanlık Sistemi” ... https://t.co/438fkO0wXf","2016-04-21 18:12:28+00:00","Neutral"
"780","780","Burhan Kuzu SAÜ'de.. -Yeni Anayasa ve Başkanlık Sistemi- Tüm öğrenci arkadaşlarımız ve halkımız davetlidir. https://t.co/5RqO2V1c1h","2016-04-21 18:06:33+00:00","Neutral"
"781","781","#BurhanKuzuSaü başkanlık sistemi ile ilgili aklınıza takılan bütün soruları cevaplamaya geliyor","2016-04-21 17:49:00+00:00","Neutral"
"782","782","Gümüşhane’de “Yeni Anayasa Ve Başkanlık Sistemi” Konferansı https://t.co/N3p8q3g0Tt @https://twitter.com/Tellal29 aracılığıyla","2016-04-21 17:43:00+00:00","Neutral"
"783","783","'Bizde başkanlık sistemi var' Konya ile tartışma sürüyor https://t.co/kObkSpphZL #haber #spor","2016-04-21 17:42:08+00:00","Neutral"
"784","784","Mahmut Uslu: ''Biliyorsunuz bizde başkanlık sistemi var. Başkana soracaksınız bunları.''","2016-04-21 17:38:03+00:00","Neutral"
"785","785","Yaşar, Başkanlık Sistemi ve Yeni Anayasayı anlattı https://t.co/v94Cbmdr4s @gumushane aracılığıyla","2016-04-21 17:35:13+00:00","Neutral"
"786","786","#Genel Gümüşhane’de “Yeni Anayasa Ve Başkanlık Sistemi” Konferansı: Cumhurbaşkanı Başdanışmanı v... https://t.co/GhAJAEChlm #MalatyaHaber","2016-04-21 17:31:36+00:00","Neutral"
"787","787","""Başkanlık sistemi çift başlılığı ortadan kaldırır, darbeleri önler"" https://t.co/Q7yTWcKyej @ismail_caglar_ https://t.co/KvX2pyfhGs","2016-04-21 17:26:15+00:00","Positive"
"788","788","Yaşar, Başkanlık Sistemi ve Yeni Anayasayı anlattı: Cumhurbaşkanı Başdanışmanı ve YÖK Üyesi hemşehrimiz Prof. Dr.… https://t.co/KvJWtrf3T2","2016-04-21 17:26:05+00:00","Neutral"
"789","789","""Dava Şuuru-Teşkilatçılık-Hiyerarşi-Yeni Anayasa ve Başkanlık Sistemi"" Eğitimimizde Aydınevler Mh. misafir ediyoruz. https://t.co/Iigwc0bwWF","2016-04-21 17:25:59+00:00","Neutral"
"790","790","Emre Bol: #Fenerbahce'de başkanlık sistemi varsa çıkıp başkanın konuşması lazım. @emrekbol @cankatsetenay https://t.co/9kSJPhZDZi","2016-04-21 17:20:09+00:00","Neutral"
"791","791","Yaşar, Başkanlık Sistemi ve Yeni Anayasayı anlattı https://t.co/s96CGZwCeA","2016-04-21 17:18:58+00:00","Neutral"
"792","792","""Başkanlık Sistemi; Güçlü Ekonomi, Sağlam İrade ve Lider TÜRKİYE demektir...""","2016-04-21 16:28:14+00:00","Positive"
"793","793","Neden Yeni Anayasa ve Başkanlık Sistemi?
Tüm halkımız davetlidir @ZHatip @AKKADINGM @selvacam https://t.co/GjeIiHcjDH","2016-04-21 16:27:15+00:00","Neutral"
"794","794","Çünkü Akşener'in MHP oylarını daha fazla artırabileceği düşüncesi hakim. Böyle bir durumda başkanlık sistemi sıkıntıya girecektir.","2016-04-21 15:53:43+00:00","Neutral"
"795","795","Türkiye'de son zamanlarda, MHP kongre süreci etrafında şekillenen, başkanlık sistemi odaklı bir siyasî kutuplaşma mevcut.","2016-04-21 15:46:44+00:00","Neutral"
"796","796","İl Müdürü, GM Müdürü ve Hukuk Kulübü koordinatörü yeni anayasa ve başkanlık sistemi hakkında istişarede bulundular. https://t.co/H12bTwSbtj","2016-04-21 15:37:41+00:00","Neutral"
"797","797","#TÜBA Asosye Üyemiz Prof.Dr.Hüsamettin İnaç, ABD'de ""Başkanlık Sistemi""ni anlattı. https://t.co/t5w35q3siD","2016-04-21 15:32:31+00:00","Neutral"
"798","798","@ORHANBURSALI @cumhuriyetgzt ayrıca evet başkanlık sistemi de gelecek ve burası dinsizlerin at koşturduğu bir ülke olmayacak.","2016-04-21 15:22:00+00:00","Positive"
"799","799","Başkanlık Sistemi nedir. https://t.co/9xwB8gqeRA","2016-04-21 15:09:45+00:00","Neutral"
"800","800","'Başkanlık Sistemi' konusunda Eroğlu'ndan ılımlı yaklaşım https://t.co/rmVA6MDQJE https://t.co/LOVWxmZUhb","2016-04-21 14:39:34+00:00","Positive"
"801","801","'Başkanlık Sistemi' konusunda Eroğlu'ndan ılımlı yaklaşım https://t.co/wYQcKmtfDb https://t.co/0pMySJ2iy4","2016-04-21 14:39:34+00:00","Positive"
"802","802","'Başkanlık Sistemi' konusunda Eroğlu'ndan ılımlı yaklaşım https://t.co/deFGhiaa4Z https://t.co/z0kHZxn2YU","2016-04-21 14:39:34+00:00","Positive"
"803","803","Haşim Kılıç toplumun başkanlık sistemine hazır olmadığını savunurken yargı sistemi için de Her ilde adalet sarayı var, ama adalete güven yok","2016-04-21 14:32:15+00:00","Neutral"
"804","804","@dbdevletbahceli sozde başkanlık sistemi rejim sorunu dogurur","2016-04-21 14:23:04+00:00","Negative"
"805","805","'Başkanlık Sistemi' konusunda Eroğlu'dan ılımlı yaklaşım https://t.co/HMg0HLOqcS https://t.co/eZsOoGlkxx","2016-04-21 14:22:10+00:00","Positive"
"806","806","'Başkanlık Sistemi' konusunda Eroğlu'dan ılımlı yaklaşım https://t.co/xvqJwLuKaB https://t.co/mmOW0Ut24I","2016-04-21 14:22:09+00:00","Positive"
"807","807","'Başkanlık Sistemi' konusunda Eroğlu'dan ılımlı yaklaşım https://t.co/PBt2ZwPCyv https://t.co/DSZ8bsVnUO","2016-04-21 14:22:08+00:00","Positive"
"808","808","@aykuterdogdu gundem binali yıldırımın oğlu ve sozde başkanlık sistemi rejim sorunu","2016-04-21 14:22:01+00:00","Neutral"
"809","809","Gündem binali yıldırımin oğlu ve sözde baskanlik sistemi ve rejim sorunu","2016-04-21 14:20:59+00:00","Neutral"
"810","810","'Başkanlık Sistemi' konusunda Eroğlu'dan ılımlı yaklaşım - 'Başkanlık Sistemi' konusunda Eroğlu'dan ılımlı yakl... https://t.co/AIYYuNtT00","2016-04-21 14:17:36+00:00","Positive"
"811","811","Başkanlık sistemi gelirse ülke bölünürmüş
Yahu akıl var mantık var! 
Eğer başkanlık sistemi Türkiye’yi bölecek olsa,Hdp itiraz eder mi hiç?","2016-04-21 13:55:24+00:00","Positive"
"812","812","#Ergenekon Başkanlık Sistemi Yeni Anayasa İsrail Projesidir 
“Erdogan is a Jew who tries to sound a Muslim” https://t.co/hwZ6LhxSro","2016-04-21 13:54:57+00:00","Negative"
"813","813","++sunumuyla gerçekleştirilen, 'Yeni Anayasa ve Başkanlık Sistemi' konulu konferansa katıldık. https://t.co/OWt5isng80","2016-04-21 12:41:43+00:00","Neutral"
"814","814","1-Karşılaştığımız faciaların temelinde başkanlık sistemi, yeni anayasa, dokunulmazlıklar değil, https://t.co/Y8mJajNl5N","2016-04-21 12:37:40+00:00","Neutral"
"815","815","Başkanlık sistemi diye aradığımız yol,tek kişi etrafında dönen beyhude çabalarla şekillenn aci ama bir o kadar da ibretlk bir masaldan ibart","2016-04-21 12:30:39+00:00","Negative"
"816","816","Başkanlık sistemi ile yönetilen Amerikanın adaletine sığınanlar Türkiyedeki başkanlık sistemine ""diktatörlük"" diyorlar. tabi yersen!","2016-04-21 12:27:13+00:00","Positive"
"817","817","6- Başkanlık Uğruna Hırs Yapıldığının, Vatan Evlatlarını Kendi Koltuğu ve Başkanlık Sistemi Uğruna Ölüme Gönderen Bir Zihniyetin Kanıtıydı.","2016-04-21 12:24:03+00:00","Negative"
"818","818","Ne #Ergenekon muş ya bütün cemaat düşmanları toplandı ardından cemaat yıkma planı yapıldı şimdi başkanlık sistemi altında Halife olma yarışı","2016-04-21 12:19:51+00:00","Negative"
"819","819","Haşim Kılıç'tan, 'Anayasa ve başkanlık sistemi' açıklaması https://t.co/NreSUP8T9q https://t.co/1YiDQ6kMel","2016-04-21 12:11:13+00:00","Neutral"
"820","820","@karadagmetin2
Cehenneme (Başkanlık Sistemi) giden yolun taşları,
https://t.co/yAjNqC4pJb
iyi niyetle (Dokunulmazlık oylaması) döşenmiştir!","2016-04-21 12:04:42+00:00","Negative"
"821","821","Cehenneme (Başkanlık Sistemi) giden yolun taşları,
https://t.co/yAjNqC4pJb
iyi niyetle (Dokunulmazlık oylaması) döşenmiştir!","2016-04-21 12:04:27+00:00","Negative"
"822","822","@cumhuriyetgzt 
Cehenneme (Başkanlık Sistemi) giden yolun taşları,
https://t.co/yAjNqC4pJb
iyi niyetle (Dokunulmazlık oylaması) döşenmiştir!","2016-04-21 12:04:10+00:00","Negative"
"823","823","Haşim Kılıç'tan, 'Anayasa ve başkanlık sistemi' açıklaması https://t.co/i0Zy4RqLon https://t.co/4khYWzW8ee","2016-04-21 11:50:02+00:00","Neutral"
"824","824","Tüm istismar konularını toptan çözeceğine inandığımız Yeni bir Anayasa ve Başkanlık Sistemi tek çıkar yoldur.

Gençlik Yeni Anayasa İstiyor","2016-04-21 11:36:06+00:00","Positive"
"825","825","Haşim Kılıç'tan, 'Anayasa ve başkanlık sistemi' açıklaması

#Saray var, #adalet YOK

https://t.co/HTAHCBSLSw","2016-04-21 11:30:31+00:00","Neutral"
"826","826","2-) Bizim için yapılacak en önemli şey bir an önce
 dokunulmazlık ve başkanlık sistemi için samimi bir niyetle canla başla çalışmak .","2016-04-21 11:30:03+00:00","Positive"
"827","827","Tahsin Yıldız yazdı.Başkanlık Sistemi Ertelenemez https://t.co/uTkYrKTWFb","2016-04-21 11:27:32+00:00","Positive"
"828","828","Haşim Kılıç'tan, AKP'ye 'Anayasa ve başkanlık sistemi' eleştirisi
https://t.co/ENzZOlkprq https://t.co/YHlLmmmoXd","2016-04-21 11:23:16+00:00","Neutral"
"829","829","Bahçeli partililere seslendi: ""Hele bi başkanlık sistemi hallolsun söz bırakıcam..."" https://t.co/cK1YVmVbR9","2016-04-21 11:19:00+00:00","Neutral"
"830","830","Hukuk Kulübümüz Yeni anayasa ve Başkanlık sistemi konularında gençlerle münazara yaptı. #GSBGM #YeniBirNefes https://t.co/QxwkXhizdR","2016-04-21 10:49:41+00:00","Neutral"
"831","831","Başkanlık Sistemi Ertelenemez https://t.co/D23gMAwvwG #regionpost @regionpostcom aracılığıyla","2016-04-21 10:42:46+00:00","Positive"
"832","832","BaşkanlıkSistemi: BuÜlkenin Geri Dönüşü Olmayan Sigortasıdır... !@yigitbulutt  
https://t.co/CixS8JHBUS https://t.co/AX9zHF63Vj","2016-04-21 10:38:49+00:00","Positive"
"833","833","@TAM_Olsun 7 haziranda iktidar olamadınız yarım oldu.Şimdi başkanlık sistemi gelsin masa başında ülkeyi teslim edin TAM OLSUN hemi?!!","2016-04-21 10:27:47+00:00","Negative"
"834","834","Başkanlık Sistemi'nde neden ısrarcıyız: https://t.co/WYGH8AWK0T","2016-04-21 10:22:31+00:00","Positive"
"835","835","Başkanlık sistemi gündemde değil diyenleri anlıyorum ve katılıyorum. Ancak şu fitnecilerin susmasına yardımcı olun da başkanlık konuşalım..","2016-04-21 10:17:28+00:00","Positive"
"836","836","Başkanlık sistemi ise en büyük vesayet organı AK Parti'yi ortadan kaldırma planı","2016-04-21 10:02:31+00:00","Neutral"
"837","837","AK Parti Samsun İl Başkanı Muharrem Göksel'den Başkanlık Sistemi Açıklaması - Samsun Haber

https://t.co/LG4GdDqoCQ https://t.co/FHKixgkNtA","2016-04-21 10:01:20+00:00","Neutral"
"838","838","Anayasanın ilk üç maddesinin değiştirilmesi ve başkanlık sistemi öyle masum yenilikler değildir.
Mevcut sistemin el değiştirilmesidir.","2016-04-21 09:50:03+00:00","Negative"
"839","839","Yeni anayasa ve başkanlık sistemi için geliyor https://t.co/1QfE9OiEA3 @UganRaif aracılığıyla","2016-04-21 09:45:20+00:00","Neutral"
"840","840","Onlarda: Casino Royale
Bizde : Casino Başkanlık Sistemi
 #VururYüzeİfadesi","2016-04-21 09:42:27+00:00","Neutral"
"841","841","Nasuhi Güngör, Suriye ve Rusya ile gerilimin neden devam ettirildiğini hala ""anlayabilememiş"".

Başkanlık sistemi... https://t.co/FBNxIWciIe","2016-04-21 09:37:15+00:00","Neutral"
"842","842","Adalet Bakanı Bozdağ: Başkanlık sistemi olunca kaybeden gidecek https://t.co/nC3fIYMXXn","2016-04-21 09:21:30+00:00","Neutral"
"843","843","Bu gün maaş bağlarsın yarın türkiye ye alırsın sonra başkanlık sistemi gelir onlardan biri diyanete geçer fetvalar havada","2016-04-21 09:13:12+00:00","Neutral"
"844","844","Haşim Kılıç’tan bomba açıklamalar
Anayasa Mahkemesi eski Başkanı Haşim Kılıç, Başkanlık sistemi ve yeni... https://t.co/ON32WP0Uki","2016-04-21 09:05:04+00:00","Neutral"
"845","845","Sn @BurhanKuzu nun 22 Nisan Cuma SAU KongreMer.Yeni Anayasa ve Baskanlik Sistemi""soylesisine tum halkimiz davetlidir https://t.co/Ydq0VwoCn1","2016-04-21 09:01:55+00:00","Neutral"
